Task Type,Details,Due date,Days Due
Report stage not complete,"IU-ASR-005842 : Super Air Jet ASR Form | 1. Perform remedial action, if required.  2. Perform Post-Risk Assessment.  3. Go to ""Validation"" stage.  ",28/04/2026,Due Today
Report stage not complete,"IW-SH-11172 : WINGS AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",11/06/2026,Due In 2 Months
Report stage not complete,"IU-SH-019802 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",11/06/2026,Due In 2 Months
Report stage not complete,"ID-ASR-12772 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",12/06/2026,Due In 2 Months
Report stage not complete,"ID-ASR-12769 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",12/06/2026,Due In 2 Months
Report stage not complete,"ID-ASR-12771 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",12/06/2026,Due In 2 Months
Report stage not complete,"IU-ASR-005852 : Super Air Jet ASR Form | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",12/06/2026,Due In 2 Months
Report stage not complete,"IU-SH-019832 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",12/06/2026,Due In 2 Months
Report stage not complete,"IU-SH-019836 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",12/06/2026,Due In 2 Months
Report stage not complete,"IU-SH-019842 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",12/06/2026,Due In 2 Months
