Task Type,Details,Due date,Days Due
Report stage not complete,"IU-ASR-005842 : Super Air Jet ASR Form | 1. Perform remedial action, if required.  2. Perform Post-Risk Assessment.  3. Go to ""Validation"" stage.  ",28/04/2026,9 days overdue
Report stage not complete,"ID-SH-59992 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",08/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020030 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020046 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60067 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"ID-ASR-12802 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020049 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"IU-ASR-005891 : Super Air Jet ASR Form | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020058 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020064 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020104 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"IU-ASR-005895 : Super Air Jet ASR Form | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"ID-ASR-12806 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"IU-ASR-005898 : Super Air Jet ASR Form | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60076 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60064 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"IU-ASR-005900 : Super Air Jet ASR Form | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020079 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",20/06/2026,Due In 1 Months
