Task Type,Details,Due date,Days Due
Report stage not complete,"IU-ASR-005842 : Super Air Jet ASR Form | 1. Perform remedial action, if required.  2. Perform Post-Risk Assessment.  3. Go to ""Validation"" stage.  ",28/04/2026,6 days overdue
Report stage not complete,"ID-SH-60025 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",13/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60024 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",13/06/2026,Due In 1 Months
Report stage not complete,"IU-ASR-005876 : Super Air Jet ASR Form | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-ASR-005878 : Super Air Jet ASR Form | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-ASR-005875 : Super Air Jet ASR Form | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-ASR-005877 : Super Air Jet ASR Form | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"JT-ASR-20451 : LION AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-019891 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-019913 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-019918 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-019924 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-019929 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-019934 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-019940 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-019945 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/06/2026,Due In 1 Months
Report stage not complete,"ID-ASR-12783 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",18/06/2026,Due In 1 Months
Report stage not complete,"ID-ASR-12784 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",18/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60043 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",18/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60042 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",18/06/2026,Due In 1 Months
Report stage not complete,"ID-ASR-12791 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",18/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60048 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",18/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60044 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",18/06/2026,Due In 1 Months
