Task Type,Details,Due date,Days Due
Report stage not complete,"ID-ASR-12806 : BATIK AIR ASR FORM | 1. Perform remedial action, if required.  2. Perform Post-Risk Assessment.  3. Go to ""Validation"" stage.  ",13/05/2026,12 days overdue
Report stage not complete,"ID-SH-60166 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",06/07/2026,Due In 2 Months
Report stage not complete,"ID-ASR-12845 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",06/07/2026,Due In 2 Months
Report stage not complete,"ID-ASR-12844 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",06/07/2026,Due In 2 Months
Report stage not complete,"ID-ASR-12846 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",06/07/2026,Due In 2 Months
Report stage not complete,"JT-ASR-20473 : LION AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",06/07/2026,Due In 2 Months
Report stage not complete,"IU-SH-020318 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",08/07/2026,Due In 2 Months
