Task Type,Details,Due date,Days Due
Report stage not complete,"IU-SH-019679 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",01/06/2026,Due In 2 Months
Report stage not complete,"IU-SH-019680 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",04/06/2026,Due In 2 Months
Report stage not complete,"IW-SH-11162 : WINGS AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",04/06/2026,Due In 2 Months
Report stage not complete,"IU-SH-019693 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",05/06/2026,Due In 2 Months
Report stage not complete,"IU-SH-019708 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",05/06/2026,Due In 2 Months
Report stage not complete,"IU-SH-019714 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",05/06/2026,Due In 2 Months
Report stage not complete,"ID-ASR-12754 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",05/06/2026,Due In 2 Months
Report stage not complete,"ID-ASR-12749 : BATIK AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",05/06/2026,Due In 2 Months
