Task Type,Details,Due date,Days Due
Report stage not complete,"IU-ASR-005842 : Super Air Jet ASR Form | 1. Perform remedial action, if required.  2. Perform Post-Risk Assessment.  3. Go to ""Validation"" stage.  ",28/04/2026,2 days overdue
Report stage not complete,"ID-ASR-12707 : BATIK AIR ASR FORM | 1. Perform remedial action, if required.  2. Perform Post-Risk Assessment.  3. Go to ""Validation"" stage.  ",04/05/2026,Due In 1 Months
Report stage not complete,"ID-SH-60025 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",13/06/2026,Due In 2 Months
Report stage not complete,"ID-SH-60024 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",13/06/2026,Due In 2 Months
