Task Type,Details,Due date,Days Due
Report stage not complete,"IU-SH-020137 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",27/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020166 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",29/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020171 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",29/06/2026,Due In 1 Months
Report stage not complete,"IU-SH-020174 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",29/06/2026,Due In 1 Months
Report stage not complete,"ID-SH-60127 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",29/06/2026,Due In 1 Months
Report stage not complete,"JT-ASR-20468 : LION AIR ASR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",29/06/2026,Due In 1 Months
